  ao# atom#  elem  type  max-exp  min-exp
    0     0    Cl     S  7.0e+04  2.9e+01
    1     0    Cl     S  1.3e+02  7.7e+00
    2     0    Cl     S  3.9e+00  1.8e+00
    3     0    Cl     S  5.0e-01  5.0e-01
    4     0    Cl     S  1.8e-01  1.8e-01
    5     1     O     S  2.7e+04  3.1e+01
    6     1     O     S  1.2e+01  5.0e+00
    7     1     O     S  1.2e+00  1.2e+00
    8     1     O     S  4.6e-01  4.6e-01
    9     1     O     S  1.9e-01  1.9e-01
   10     2     N     S  2.0e+04  2.3e+01
   11     2     N     S  9.0e+00  3.7e+00
   12     2     N     S  8.5e-01  8.5e-01
   13     2     N     S  3.4e-01  3.4e-01
   14     2     N     S  1.4e-01  1.4e-01
   15     3     C     S  1.4e+04  1.6e+01
   16     3     C     S  6.2e+00  2.6e+00
   17     3     C     S  5.8e-01  5.8e-01
   18     3     C     S  2.3e-01  2.3e-01
   19     3     C     S  9.5e-02  9.5e-02
   20     4     C     S  1.4e+04  1.6e+01
   21     4     C     S  6.2e+00  2.6e+00
   22     4     C     S  5.8e-01  5.8e-01
   23     4     C     S  2.3e-01  2.3e-01
   24     4     C     S  9.5e-02  9.5e-02
   25     5     C     S  1.4e+04  1.6e+01
   26     5     C     S  6.2e+00  2.6e+00
   27     5     C     S  5.8e-01  5.8e-01
   28     5     C     S  2.3e-01  2.3e-01
   29     5     C     S  9.5e-02  9.5e-02
   30     6     C     S  1.4e+04  1.6e+01
   31     6     C     S  6.2e+00  2.6e+00
   32     6     C     S  5.8e-01  5.8e-01
   33     6     C     S  2.3e-01  2.3e-01
   34     6     C     S  9.5e-02  9.5e-02
   35     7     C     S  1.4e+04  1.6e+01
   36     7     C     S  6.2e+00  2.6e+00
   37     7     C     S  5.8e-01  5.8e-01
   38     7     C     S  2.3e-01  2.3e-01
   39     7     C     S  9.5e-02  9.5e-02
   40     8     H     S  3.4e+01  1.2e+00
   41     8     H     S  3.3e-01  3.3e-01
   42     8     H     S  1.0e-01  1.0e-01
   43     9     H     S  3.4e+01  1.2e+00
   44     9     H     S  3.3e-01  3.3e-01
   45     9     H     S  1.0e-01  1.0e-01
   46    10     H     S  3.4e+01  1.2e+00
   47    10     H     S  3.3e-01  3.3e-01
   48    10     H     S  1.0e-01  1.0e-01
   49    11     H     S  3.4e+01  1.2e+00
   50    11     H     S  3.3e-01  3.3e-01
   51    11     H     S  1.0e-01  1.0e-01
   52    12     H     S  3.4e+01  1.2e+00
   53    12     H     S  3.3e-01  3.3e-01
   54    12     H     S  1.0e-01  1.0e-01
   55    13     H     S  3.4e+01  1.2e+00
   56    13     H     S  3.3e-01  3.3e-01
